gan_env) teaching@dslab:~/pathon$ python train1.py 
Training on device: CUDA with Shared CPU Memory & AMP
Update: 1/130 | Steps: 61440 | SPS: 7938 | Ret: -15.15 | Len: 73.8 | Goal: 0.0% | v_loss: 10.1457 | approx_kl: 0.0094
Update: 2/130 | Steps: 122880 | SPS: 8578 | Ret: -15.34 | Len: 134.2 | Goal: 0.0% | v_loss: 9.2619 | approx_kl: 0.0066
Update: 3/130 | Steps: 184320 | SPS: 8916 | Ret: -17.52 | Len: 169.1 | Goal: 1.0% | v_loss: 10.5750 | approx_kl: 0.0112
Update: 4/130 | Steps: 245760 | SPS: 9096 | Ret: -8.82 | Len: 168.7 | Goal: 1.0% | v_loss: 8.4282 | approx_kl: 0.0098
Update: 5/130 | Steps: 307200 | SPS: 9243 | Ret: -12.12 | Len: 232.9 | Goal: 1.0% | v_loss: 8.6299 | approx_kl: 0.0119
Update: 6/130 | Steps: 368640 | SPS: 9330 | Ret: -5.88 | Len: 264.6 | Goal: 1.0% | v_loss: 10.5388 | approx_kl: 0.0084
Update: 7/130 | Steps: 430080 | SPS: 9401 | Ret: -11.47 | Len: 341.7 | Goal: 3.0% | v_loss: 9.0060 | approx_kl: 0.0069
Update: 8/130 | Steps: 491520 | SPS: 9445 | Ret: -4.27 | Len: 246.6 | Goal: 1.0% | v_loss: 9.7010 | approx_kl: 0.0067
Update: 9/130 | Steps: 552960 | SPS: 9508 | Ret: -8.67 | Len: 277.7 | Goal: 1.0% | v_loss: 7.7036 | approx_kl: 0.0061
Update: 10/130 | Steps: 614400 | SPS: 9543 | Ret: -9.77 | Len: 235.9 | Goal: 0.0% | v_loss: 11.0002 | approx_kl: 0.0114
Update: 11/130 | Steps: 675840 | SPS: 9570 | Ret: -7.15 | Len: 251.6 | Goal: 0.0% | v_loss: 8.5251 | approx_kl: 0.0088
Update: 12/130 | Steps: 737280 | SPS: 9594 | Ret: -9.39 | Len: 282.3 | Goal: 0.0% | v_loss: 9.9335 | approx_kl: 0.0087
Update: 13/130 | Steps: 798720 | SPS: 9622 | Ret: -7.15 | Len: 257.1 | Goal: 2.0% | v_loss: 6.3052 | approx_kl: 0.0089
Update: 14/130 | Steps: 860160 | SPS: 9643 | Ret: -0.65 | Len: 218.5 | Goal: 3.0% | v_loss: 13.6722 | approx_kl: 0.0049
Update: 15/130 | Steps: 921600 | SPS: 9641 | Ret: -17.81 | Len: 208.2 | Goal: 1.0% | v_loss: 11.1948 | approx_kl: 0.0091
Update: 16/130 | Steps: 983040 | SPS: 9648 | Ret: -1.23 | Len: 304.5 | Goal: 2.0% | v_loss: 9.5960 | approx_kl: 0.0084
Update: 17/130 | Steps: 1044480 | SPS: 9643 | Ret: -0.53 | Len: 163.2 | Goal: 2.0% | v_loss: 11.2139 | approx_kl: 0.0070
